model,config,quantization,noise_type,question_id,question_clean,question_noisy,question_repaired,reference_answer,answer_clean,answer_noisy,answer_repaired,bleu_clean,bleu_noisy,bleu_repaired,chrf_clean,chrf_noisy,chrf_repaired,rouge_l_clean,rouge_l_noisy,rouge_l_repaired,token_f1_clean,token_f1_noisy,token_f1_repaired,exact_match_clean,exact_match_noisy,exact_match_repaired,bertscore_clean,bertscore_noisy,bertscore_repaired,intent_preservation_clean,intent_preservation_noisy,intent_preservation_repaired,geval_clean,geval_noisy,geval_repaired
gemma-2-9b-it,gemma2_9b.yaml,none,typos_grammar,0,Do you have information about A1C,Do yuo hav any info on AIC?,What information do you have about A1C testing?,"Summary : A1C is a blood test for type 2 diabetes and prediabetes. It measures your average blood glucose, or blood sugar, level over the past 3 months. Doctors may use the A1C alone or in combination with other diabetes tests to make a diagnosis. They also use the A1C to see how well you are managing your diabetes. This test is different from the blood sugar checks that people with diabetes do every day. Your A1C test result is given in percentages. The higher the percentage, the higher your blood sugar levels have been: - A normal A1C level is below 5.7 percent - Prediabetes is between 5.7 to 6.4 percent. Having prediabetes is a risk factor for getting type 2 diabetes. People with prediabetes may need retests every year. - Type 2 diabetes is above 6.5 percent - If you have diabetes, you should have the A1C test at least twice a year. The A1C goal for many people with diabetes is below 7. It may be different for you. Ask what your goal should be. If your A1C result is too high, you may need to change your diabetes care plan. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",A1C is a blood test that measures your average blood sugar level over the past 2-3 months.  It's used to diagnose diabetes and monitor how well it's being managed.,A1C (glycated hemoglobin) is a blood test that measures your average blood sugar levels over the past 2-3 months.  It's used to diagnose and monitor diabetes.,"A1C testing measures your average blood sugar levels over the past 2-3 months. It is expressed as a percentage and reflects how well your diabetes is controlled.  

Here's some key information:

* **Purpose:** To diagnose prediabetes or diabetes, monitor treatment effectiveness, and assess long-term blood sugar control.
* **Procedure:** A simple blood draw from a vein in your arm.
* **Results:** Normal range is typically below 5.7%. Values of 5.7% to 6.4% indicate prediabetes, while 6.5% or higher suggests diabetes.



Let me know if you have any other questions. Remember, I am not a doctor and this information should not be considered medical advice. Always consult with a healthcare professional for personalized guidance.",0.09981887509726851,0.0640802698948228,3.7150387386666366,12.64763904545979,11.453930198812653,32.447674008589104,16.43835616438356,14.883720930232558,25.333333333333336,21.00456621004566,18.6046511627907,39.33333333333333,0.0,0.0,0.0,0.8722954392433167,0.8557713627815247,0.8536415100097656,1.0,0.5458734035491943,0.8296896815299988,4,4,4
gemma-2-9b-it,gemma2_9b.yaml,none,ambiguity,1,What is (are) Abdominal Pain ?,What causes belly pain?,What are the common causes of abdominal pain?,"Your abdomen extends from below your chest to your groin. Some people call it the stomach, but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else, such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious. Call your healthcare provider if mild pain lasts a week or more or if you have pain with other symptoms. Get medical help immediately if - You have abdominal pain that is sudden and sharp - You also have pain in your chest, neck or shoulder - You're vomiting blood or have blood in your stool - Your abdomen is stiff, hard and tender to touch - You can't move your bowels, especially if you're also vomiting","Abdominal pain is discomfort or pain in the area between the chest and pelvis.  It can have many causes, ranging from mild indigestion to serious conditions like appendicitis.","Belly pain can be caused by a wide range of factors including indigestion, gas, constipation, food poisoning, infections, inflammation, ulcers, appendicitis, kidney stones, endometriosis, and more serious conditions like pancreatitis or bowel obstruction.","Common causes of abdominal pain include indigestion, gas, constipation, diarrhea, irritable bowel syndrome (IBS), food poisoning, appendicitis, urinary tract infections, menstrual cramps, kidney stones, and pancreatitis.",0.10104486048552647,0.13827793940625444,0.1556141103511996,12.190901609411151,13.070334902749053,12.433001369293203,10.062893081761006,6.06060606060606,5.031446540880503,20.12578616352201,8.484848484848484,5.031446540880503,0.0,0.0,0.0,0.837851881980896,0.8150799870491028,0.8013380765914917,1.0,0.7318646311759949,0.7926697731018066,3,2,2
gemma-2-9b-it,gemma2_9b.yaml,none,layperson,2,What is (are) Abortion ?,What's up with ending a pregnancy?,What are the options for terminating a pregnancy?,"An abortion is a procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus. The procedure is done by a licensed health care professional. The decision to end a pregnancy is very personal. If you are thinking of having an abortion, most healthcare providers advise counseling.",Abortion is the termination of a pregnancy by removing or expelling the embryo or fetus from the uterus.,"Ending a pregnancy is medically known as an abortion.  It can be done through various methods depending on gestational age and individual circumstances. 

For accurate information about your options and legal status in your area, please consult a healthcare provider or a trusted reproductive health organization.",Options for terminating a pregnancy include medication abortion and surgical abortion.,2.9901685784083285,3.839961490765826,0.12714803640719563,22.41587737642354,34.53327993775785,15.672487082229752,29.508196721311474,8.988764044943819,10.526315789473683,36.0655737704918,20.224719101123597,14.035087719298245,0.0,0.0,0.0,0.8971565365791321,0.8698294758796692,0.8798695206642151,0.9999999403953552,0.4462255835533142,0.4387895464897156,4,4,3
gemma-2-9b-it,gemma2_9b.yaml,none,incomplete,3,What is (are) Abscess ?,What is an abscess?,What is an abscess and what causes it?,"An abscess is a pocket of pus. You can get an abscess almost anywhere in your body. When an area of your body becomes infected, your body's immune system tries to fight the infection. White blood cells go to the infected area, collect within the damaged tissue, and cause inflammation. During this process, pus forms. Pus is a mixture of living and dead white blood cells, germs, and dead tissue. Bacteria, viruses, parasites and swallowed objects can all lead to abscesses. Skin abscesses are easy to detect. They are red, raised and painful. Abscesses inside your body may not be obvious and can damage organs, including the brain, lungs and others. Treatments include drainage and antibiotics.",An abscess is a painful collection of pus that forms within the body's tissues due to infection.,An abscess is a localized collection of pus that forms within body tissues due to infection.,An abscess is a localized collection of pus that forms within body tissues due to infection by bacteria or other microorganisms.,0.02783220453759473,0.017355751371053812,0.07844134940168819,10.612896762395096,8.985387392601925,11.549441800218393,13.008130081300811,11.475409836065573,12.598425196850393,17.886178861788615,14.754098360655737,15.748031496062993,0.0,0.0,0.0,0.8873677849769592,0.8820732235908508,0.8753118515014648,1.0,0.9070515036582947,0.8459458351135254,4,4,4
gemma-2-9b-it,gemma2_9b.yaml,none,overgeneralization,4,What is (are) Acne ?,What causes skin problems like acne?,What are the underlying causes of acne vulgaris?,"Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face, neck, back, chest, and shoulders. Anyone can get acne, but it is common in teenagers and young adults. It is not serious, but it can cause scars. No one knows exactly what causes acne. Hormone changes, such as those during the teenage years and pregnancy, probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed, but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however, blackheads and pimples are not caused by dirt. Stress doesn't cause acne, but stress can make it worse. If you have acne - Clean your skin gently - Try not to touch your skin - Avoid the sun Treatments for acne include medicines and creams. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases","Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells.  This can lead to pimples, whiteheads, blackheads, and other blemishes.","Acne is caused by a combination of factors including excess oil production (sebum), clogged hair follicles, bacteria (Propionibacterium acnes), and inflammation.","Acne vulgaris is primarily caused by excess oil production (sebum), clogged hair follicles with dead skin cells, and bacteria called *Propionibacterium acnes* (P. acnes).  Hormonal fluctuations can also contribute to its development.",0.16855240223855483,0.019645776930411363,0.11080506445179696,12.08307884660659,9.053495372900986,11.37843356089434,13.684210526315788,6.593406593406594,8.24742268041237,15.789473684210526,8.79120879120879,10.309278350515463,0.0,0.0,0.0,0.8668415546417236,0.8266372680664062,0.8270167708396912,1.0,0.6723849177360535,0.6738489270210266,4,3,3
gemma-2-9b-it,gemma2_9b.yaml,none,typos_grammar,5,What is (are) Acoustic Neuroma ?,What r acousitc neurmoa?,What are acoustic neuromas?,"An acoustic neuroma is a benign tumor that develops on the nerve that connects the ear to the brain. The tumor usually grows slowly. As it grows, it presses against the hearing and balance nerves. At first, you may have no symptoms or mild symptoms. They can include - Loss of hearing on one side - Ringing in ears - Dizziness and balance problems The tumor can also eventually cause numbness or paralysis of the face. If it grows large enough, it can press against the brain, becoming life-threatening. Acoustic neuroma can be difficult to diagnose, because the symptoms are similar to those of middle ear problems. Ear exams, hearing tests, and scans can show if you have it. If the tumor stays small, you may only need to have it checked regularly. If you do need treatment, surgery and radiation are options. If the tumors affect both hearing nerves, it is often because of a genetic disorder called neurofibromatosis. NIH: National Institute on Deafness and Communication Disorders","Acoustic neuromas are benign tumors that grow on the vestibulocochlear nerve, which connects the inner ear to the brain.  They cause hearing loss, tinnitus, and balance problems.","Acoustic neuromas are benign tumors that grow on the vestibulocochlear nerve (cranial nerve VIII), which is responsible for hearing and balance.","Acoustic neuromas are benign tumors that grow on the vestibulocochlear nerve (the auditory nerve), which transmits sound and balance information from the inner ear to the brain.",0.1611643328046026,0.012406114963513787,0.10136163326775292,14.484704116410473,9.705424203397607,11.772443642895041,15.909090909090908,9.30232558139535,10.285714285714285,20.454545454545453,12.790697674418606,13.714285714285715,0.0,0.0,0.0,0.8700554966926575,0.8463053107261658,0.8501349091529846,1.0,0.289063036441803,0.9060727953910828,4,4,4
gemma-2-9b-it,gemma2_9b.yaml,none,ambiguity,6,Do you have information about Acupuncture,Can acupuncture help with things?,What conditions can acupuncture effectively treat?,"Summary : Acupuncture has been practiced in China and other Asian countries for thousands of years. Acupuncture involves stimulating specific points on the body. This is most often done by inserting thin needles through the skin, to cause a change in the physical functions of the body. Research has shown that acupuncture reduces nausea and vomiting after surgery and chemotherapy. It can also relieve pain. Researchers don't fully understand how acupuncture works. It might aid the activity of your body's pain-killing chemicals. It also might affect how you release chemicals that regulate blood pressure and flow. NIH: National Center for Complementary and Integrative Health","Acupuncture is a traditional Chinese medicine technique involving inserting thin needles into specific points on the body to stimulate energy flow and promote healing. 

While some studies suggest potential benefits for certain conditions like pain management, more research is needed to fully understand its effectiveness and safety.  It's important to consult with a qualified healthcare professional before trying acupuncture.","Acupuncture may provide relief for certain conditions like pain management, nausea, and some digestive issues. However, its effectiveness is still debated in conventional medicine and more research is needed to fully understand its mechanisms and benefits.","Acupuncture has been shown to be effective in treating certain conditions, including:

* **Pain:** Back pain, neck pain, osteoarthritis, headaches 
* **Nausea and vomiting:** Post-operative nausea, chemotherapy-induced nausea
* **Other:**  Anxiety, depression, insomnia 


It is important to note that acupuncture should not replace conventional medical treatment but may be used as a complementary therapy.",4.382528637381142,0.499541158093294,2.045913397231505,33.21377115614821,19.222907718166987,28.326650114070777,15.286624203821656,11.76470588235294,15.789473684210526,26.751592356687897,19.117647058823533,23.684210526315788,0.0,0.0,0.0,0.8778740763664246,0.8645256757736206,0.8326253294944763,1.0,0.8089215159416199,0.7414548397064209,4,4,4
gemma-2-9b-it,gemma2_9b.yaml,none,layperson,7,What is (are) Acute Bronchitis ?,What's wrong with my lungs when I have a bad cough?,What could be causing my persistent cough and what lung conditions might it indicate?,"Bronchitis is an inflammation of the bronchial tubes, the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath, wheezing, a low fever, and chest tightness. There are two main types of bronchitis: acute and chronic. Most cases of acute bronchitis get better within several days. But your cough can last for several weeks after the infection is gone. The same viruses that cause colds and the flu often cause acute bronchitis. These viruses spread through the air when people cough, or though physical contact (for example, on unwashed hands). Being exposed to tobacco smoke, air pollution, dusts, vapors, and fumes can also cause acute bronchitis. Less often, bacteria can also cause acute bronchitis. To diagnose acute bronchitis, your health care provider will ask about your symptoms and listen to your breathing. You may also have other tests. Treatments include rest, fluids, and aspirin (for adults) or acetaminophen to treat fever. A humidifier or steam can also help. You may need inhaled medicine to open your airways if you are wheezing. Antibiotics won't help if the cause is viral. You may get antibiotics if the cause is bacterial. NIH: National Heart, Lung, and Blood Institute","Acute bronchitis is an inflammation of the bronchial tubes, which carry air to and from your lungs.  It's usually caused by a viral infection.","A bad cough can be caused by many things affecting your lungs, including infections (like bronchitis or pneumonia), irritants (smoke, dust), allergies, or chronic conditions like asthma or COPD.  

**It is impossible to diagnose the cause of your cough without a medical evaluation.**","I'm sorry, but I cannot provide medical diagnoses. Persistent coughing can have many causes, ranging from common colds to more serious lung conditions. 

**It is essential to consult a doctor for an accurate diagnosis and treatment plan.** They will consider your symptoms, medical history, and perform necessary tests to determine the underlying cause of your cough.  

Some potential causes of a persistent cough include:

* **Viral or bacterial infections:** Bronchitis, pneumonia
* **Allergies:** Asthma, allergic rhinitis
* **Environmental irritants:** Smoke, dust, pollution
* **Gastroesophageal reflux disease (GERD)**
* **Chronic obstructive pulmonary disease (COPD)**
* **Lung cancer**


Please schedule an appointment with your healthcare provider to discuss your concerns.",0.010997723558214205,0.1506220086277444,0.7725395133252781,9.848303280670482,12.932246986734649,27.379565267893845,11.872146118721462,8.438818565400844,10.16949152542373,14.61187214611872,15.189873417721516,24.406779661016945,0.0,0.0,0.0,0.8645283579826355,0.8358251452445984,0.8164443373680115,1.0,0.5411707758903503,0.5226629376411438,4,2,2
gemma-2-9b-it,gemma2_9b.yaml,none,incomplete,8,What is (are) Acute Lymphocytic Leukemia ?,What is leukemia?,Can you please provide information about the disease leukemia?,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute lymphocytic leukemia (ALL), also called acute lymphoblastic leukemia, there are too many of specific types of white blood cells called lymphocytes or lymphoblasts. ALL is the most common type of cancer in children. Possible risk factors for ALL include being male, being white, previous chemotherapy treatment, exposure to radiation, and for adults, being older than 70. Symptoms of ALL include: - Weakness or feeling tired - Fever - Easy bruising or bleeding - Bleeding under the skin - Shortness of breath - Weight loss or loss of appetite - Pain in the bones or stomach - Pain or a feeling of fullness below the ribs - Painless lumps in the neck, underarm, stomach, or groin Tests that examine the blood and bone marrow diagnose ALL. Treatments include chemotherapy, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back. NIH: National Cancer Institute","Acute lymphocytic leukemia (ALL) is a type of cancer that affects the bone marrow and causes an overproduction of immature lymphocytes, a type of white blood cell.","Leukemia is a type of cancer that affects blood-forming tissues, including bone marrow and lymphatic system.  It causes an overproduction of abnormal white blood cells.","Leukemia is a cancer of the blood-forming tissues, characterized by the overproduction of abnormal white blood cells.  These abnormal cells crowd out healthy blood cells, leading to various complications. 

There are different types of leukemia classified by cell type (lymphocytic or myeloid) and how quickly it progresses (acute or chronic). Treatment typically involves chemotherapy, radiation therapy, stem cell transplantation, and targeted therapies.",0.016239070175797243,0.005957792498032458,2.2107700637065997,9.957925616896993,9.430185277209594,24.78931046821151,11.403508771929825,9.606986899563319,23.39622641509434,15.789473684210527,13.973799126637557,28.67924528301887,0.0,0.0,0.0,0.8505356907844543,0.8437225818634033,0.8577152490615845,0.9999999403953552,0.7243295907974243,0.6224474310874939,4,3,4
gemma-2-9b-it,gemma2_9b.yaml,none,overgeneralization,9,What is (are) Acute Myeloid Leukemia ?,What are all the types of blood cancers?,What are the different classifications of hematologic malignancies?,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute myeloid leukemia (AML), there are too many of a specific type of white blood cell called a myeloblast. AML is the most common type of acute leukemia in adults. This type of cancer usually gets worse quickly if it is not treated. Possible risk factors include smoking, previous chemotherapy treatment, and exposure to radiation. Symptoms of AML include: - Fever - Shortness of breath - Easy bruising or bleeding - Bleeding under the skin - Weakness or feeling tired - Weight loss or loss of appetite Tests that examine the blood and bone marrow diagnose AML. Treatments include chemotherapy, other drugs, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back. NIH: National Cancer Institute","Acute myeloid leukemia (AML) is a type of cancer that affects blood-forming cells in the bone marrow.  It causes these cells to multiply rapidly and abnormally, crowding out healthy blood cells.","Blood cancers include:

* **Leukemia:** Cancer of white blood cells 
    * Acute lymphocytic leukemia (ALL)
    * Acute myeloid leukemia (AML)
    * Chronic lymphocytic leukemia (CLL)
    * Chronic myeloid leukemia (CML)
* **Lymphoma:** Cancer of the lymphatic system
    * Hodgkin lymphoma
    * Non-Hodgkin lymphoma
* **Myeloma:** Cancer of plasma cells  




Let me know if you have any other questions.","Hematologic malignancies are classified into two main categories:

* **Leukemias:** Cancers of blood-forming cells in bone marrow. 
* **Lymphomas:** Cancers that originate in the lymphatic system.  


Within these categories, further subclassifications exist based on cell type and behavior (e.g., acute vs. chronic).",0.12441364903256895,1.5089907991044815,0.28468630972137454,12.799022164228269,15.745962259706985,12.350402496041504,13.145539906103288,14.655172413793105,9.82142857142857,21.5962441314554,20.689655172413794,12.5,0.0,0.0,0.0,0.8644871711730957,0.7951998114585876,0.8097077012062073,0.9999999403953552,0.4261098802089691,0.583716869354248,4,2,2
