model,config,quantization,noise_type,question_id,question_clean,question_noisy,question_repaired,reference_answer,answer_clean,answer_noisy,answer_repaired,bleu_clean,bleu_noisy,bleu_repaired,chrf_clean,chrf_noisy,chrf_repaired,rouge_l_clean,rouge_l_noisy,rouge_l_repaired,token_f1_clean,token_f1_noisy,token_f1_repaired,exact_match_clean,exact_match_noisy,exact_match_repaired,bertscore_clean,bertscore_noisy,bertscore_repaired,intent_preservation_clean,intent_preservation_noisy,intent_preservation_repaired,geval_clean,geval_noisy,geval_repaired
gpt-5.4,gpt54_hybrid_api.yaml,none,typos_grammar,0,Do you have information about A1C,Do you have infomation about A1C?,"What is hemoglobin A1C, and what information does it provide about blood sugar control?","Summary : A1C is a blood test for type 2 diabetes and prediabetes. It measures your average blood glucose, or blood sugar, level over the past 3 months. Doctors may use the A1C alone or in combination with other diabetes tests to make a diagnosis. They also use the A1C to see how well you are managing your diabetes. This test is different from the blood sugar checks that people with diabetes do every day. Your A1C test result is given in percentages. The higher the percentage, the higher your blood sugar levels have been: - A normal A1C level is below 5.7 percent - Prediabetes is between 5.7 to 6.4 percent. Having prediabetes is a risk factor for getting type 2 diabetes. People with prediabetes may need retests every year. - Type 2 diabetes is above 6.5 percent - If you have diabetes, you should have the A1C test at least twice a year. The A1C goal for many people with diabetes is below 7. It may be different for you. Ask what your goal should be. If your A1C result is too high, you may need to change your diabetes care plan. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","Yes. **A1C** (also called **HbA1c** or **glycated hemoglobin**) is a blood test that shows your **average blood sugar over about the past 2–3 months**.

### What it’s used for
- **Diagnosing diabetes and prediabetes**
- **Monitoring diabetes control** over time

### Common A1C ranges
For most adults:
- **Normal:** below **5.7%**
- **Prediabetes:** **5.7% to 6.4%**
- **Diabetes:** **6.5% or higher** on testing

### Typical treatment goal
For many adults with diabetes, a common target is:
- **Below 7%**
But the best goal depends on age, other health conditions, and risk of low blood sugar.

### Important notes
A1C may be less accurate in some situations, such as:
- **Anemia**
- **Kidney disease**
- **Pregnancy**
- Certain **blood disorders** or recent blood loss/transfusion

If you want, I can also explain:
- how to lower A1C,
-","Yes. **A1C** (also called **HbA1c** or **hemoglobin A1c**) is a blood test that shows your **average blood sugar over the past 2–3 months**.

### What it measures
Glucose sticks to hemoglobin in red blood cells. The A1C test measures the **percentage of hemoglobin with glucose attached**.

### Common A1C ranges
- **Normal:** **below 5.7%**
- **Prediabetes:** **5.7% to 6.4%**
- **Diabetes:** **6.5% or higher** on testing

### Usual treatment goal for people with diabetes
- A common target is **below 7%**
- But the best goal can vary based on age, other health conditions, risk of low blood sugar, and pregnancy

### Estimated average glucose
A1C roughly corresponds to average glucose:
- **6%** ≈ **126","Hemoglobin A1C, or **HbA1c**, is a blood test that measures the **percentage of hemoglobin in red blood cells that has glucose attached to it**.

Because red blood cells live about **3 months**, the A1C reflects a person’s **average blood sugar level over the past 2–3 months**, rather than just the blood sugar at one moment in time.

It is used to:
- **Diagnose diabetes and prediabetes**
- **Monitor long-term blood sugar control** in people with diabetes

In general:
- **Lower A1C** = better overall blood sugar control
- **Higher A1C** = blood sugars have been elevated over time

Common interpretation:
- **Below 5.7%**: normal
- **5.7% to 6.4%**: prediabetes
- **6.5% or higher**: diabetes

For many adults with diabetes, a common treatment goal is **below 7%**, though targets can vary by individual.",3.225707925095393,4.260294399809096,5.807743270973689,29.973315502188395,28.241050763497494,34.24724649457479,26.282051282051285,28.08219178082192,29.48717948717949,42.94871794871795,41.78082191780821,42.94871794871795,0.0,0.0,0.0,0.847036600112915,0.8485259413719177,0.8543149828910828,1.0,0.9724780321121216,0.6612440347671509,4,4,5
gpt-5.4,gpt54_hybrid_api.yaml,none,ambiguity,1,What is (are) Abdominal Pain ?,"What exactly counts as abdominal pain, and what could it mean?","What is considered abdominal pain, and what are the possible causes?","Your abdomen extends from below your chest to your groin. Some people call it the stomach, but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else, such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious. Call your healthcare provider if mild pain lasts a week or more or if you have pain with other symptoms. Get medical help immediately if - You have abdominal pain that is sudden and sharp - You also have pain in your chest, neck or shoulder - You're vomiting blood or have blood in your stool - Your abdomen is stiff, hard and tender to touch - You can't move your bowels, especially if you're also vomiting","Abdominal pain is pain or discomfort felt anywhere in the area between the chest and the groin, often called the belly or abdomen.

It can:
- be mild or severe
- come on suddenly or develop gradually
- be constant or come and go
- feel crampy, sharp, dull, burning, or aching

Abdominal pain is a symptom, not a disease itself. It can be caused by many problems, including:
- indigestion, gas, constipation
- stomach flu or food poisoning
- appendicitis
- gallstones or kidney stones
- ulcers
- urinary or reproductive system problems
- inflammatory or other serious conditions

Some causes are minor, while others may need urgent medical care. Seek immediate medical attention if abdominal pain is severe, persistent, or occurs with fever, vomiting, fainting, trouble breathing, bloody stool or vomit, or a rigid/swollen abdomen.","**Abdominal pain** means **pain or discomfort anywhere in the area between your chest and pelvis** — often called the **belly** or **stomach area**. It can be:

- **Generalized** or in one spot
- **Mild to severe**
- **Sharp, dull, crampy, burning, or aching**
- **Constant or coming in waves**

### What it could mean
Abdominal pain can come from many organs in that area, including the **stomach, intestines, appendix, liver,","**Abdominal pain** is any pain felt in the area between the **chest and pelvis**—often called the **belly** or **stomach area**. It may be **sharp, dull, crampy, burning, constant, or intermittent**, and can range from mild to severe.

### Possible causes of abdominal pain
Common causes include:

- **Indigestion, gas, or constipation**
- **Stomach flu (gastroenteritis)** or other infections
- **Food poisoning**
- **Acid reflux or gastritis**
- **Peptic ulcer disease**
- **Irritable bowel syndrome (IBS)**
- **Inflammatory bowel disease** (Crohn disease, ulcerative colitis)
- **Appendicitis**
- **Gallbladder problems** (gallstones, cholecystitis)
- **Pancreatitis**
- **Kidney stones** or **urinary tract infection**
- **Hernia**
- **Menstrual cramps**, **ovarian cysts**, **pelvic inflammatory disease**, or **ectopic pregnancy**
- **Liver problems** such as hepatitis
- **",1.1943151536602332,1.9773422178131392,0.8199556395864833,36.285926343683315,22.964997463635154,28.48481035264994,15.810276679841898,11.340206185567009,9.401709401709404,30.039525691699602,29.89690721649485,23.076923076923077,0.0,0.0,0.0,0.8425702452659607,0.82462477684021,0.7990075945854187,1.0,0.878340482711792,0.8845552802085876,4,4,3
gpt-5.4,gpt54_hybrid_api.yaml,none,layperson,2,What is (are) Abortion ?,What does it mean to end a pregnancy?,What does the phrase “ending a pregnancy” mean medically?,"An abortion is a procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus. The procedure is done by a licensed health care professional. The decision to end a pregnancy is very personal. If you are thinking of having an abortion, most healthcare providers advise counseling.","Abortion is the termination or loss of a pregnancy before the fetus is viable outside the uterus.

It may be:

- **Spontaneous abortion**: a **miscarriage**, occurring naturally.
- **Induced abortion**: deliberate ending of a pregnancy by **medication or a medical/surgical procedure**.

In medical use, abortion generally refers to pregnancy ending in the early stages, before the fetus can survive independently.","To “end a pregnancy” means to stop the pregnancy before birth, so it does not continue to term. Medically, this usually refers to an abortion, which can happen:

- **Spontaneously**: a miscarriage
- **Intentionally**: through **medication** or a **procedure**

It can also sometimes refer to **delivery of the baby** if the pregnancy is ended because labor is induced or a cesarean section is done.","Medically, “ending a pregnancy” means causing a pregnancy to stop so it no longer continues in the uterus.

This can refer to:
- **Induced abortion**: ending a pregnancy before the fetus can survive outside the uterus, using **medication** or a **procedure**
- **Delivery/birth**: if the pregnancy is far enough along, ending it may mean **inducing labor** or performing a **cesarean delivery**

In everyday use, the phrase most often refers to **abortion**.",3.2828309084278415,2.9385092838160234,2.5381090760531255,36.46838576824171,36.425258898139326,36.755299440344224,16.49484536082474,19.801980198019802,16.82242990654206,30.927835051546392,33.663366336633665,29.906542056074763,0.0,0.0,0.0,0.8550016283988953,0.8389824628829956,0.8432785272598267,0.9999998211860657,0.4209287166595459,0.5193873643875122,4,3,2
gpt-5.4,gpt54_hybrid_api.yaml,none,incomplete,3,What is (are) Abscess ?,What is an abscess in the body?,"What is an abscess, and how does it form in the body?","An abscess is a pocket of pus. You can get an abscess almost anywhere in your body. When an area of your body becomes infected, your body's immune system tries to fight the infection. White blood cells go to the infected area, collect within the damaged tissue, and cause inflammation. During this process, pus forms. Pus is a mixture of living and dead white blood cells, germs, and dead tissue. Bacteria, viruses, parasites and swallowed objects can all lead to abscesses. Skin abscesses are easy to detect. They are red, raised and painful. Abscesses inside your body may not be obvious and can damage organs, including the brain, lungs and others. Treatments include drainage and antibiotics.","An **abscess** is a **localized collection of pus** that forms in body tissues, organs, or spaces, usually due to an **infection**.

It develops when the body tries to fight infection, leading to a pocket filled with:
- dead white blood cells
- bacteria or other germs
- tissue debris

Common signs include:
- **pain**
- **swelling**
- **redness**
- **warmth**
- sometimes **fever**

Abscesses can occur **under the skin**, in the **mouth**, or **inside the body**. Treatment often involves **drainage** and sometimes **antibiotics**.","An abscess is a localized collection of pus in the body caused by infection or, less commonly, inflammation. It usually forms when the immune system walls off infected tissue. Abscesses can occur in the skin, teeth, gums, or inside the body such as in organs. Common signs include pain, swelling, redness, warmth, and sometimes fever. Treatment often involves drainage and sometimes antibiotics.","An abscess is a localized collection of pus that forms in tissue, an organ, or a body cavity, usually because of an infection.

How it forms:
- Bacteria, and sometimes fungi or parasites, enter the body through a break in the skin, a blocked gland, or spread from another infection.
- The immune system responds by sending white blood cells to fight the infection.
- During this process, tissue breaks down and dies, and a pocket forms.
- This pocket fills with pus, which contains white blood cells, bacteria, dead tissue, and fluid.

The body may wall off the infection to keep it from spreading, which creates the swollen, often painful lump known as an abscess. Common signs include pain, redness, warmth, swelling, and sometimes fever.",4.130575441814051,3.29285463085496,11.229111589101795,32.87373209409287,31.28709548785829,44.06719463347501,29.714285714285715,24.390243902439025,27.10280373831776,37.714285714285715,30.48780487804878,39.25233644859813,0.0,0.0,0.0,0.8524172902107239,0.8862992525100708,0.8801398873329163,1.0,0.8460257053375244,0.809633731842041,5,5,4
gpt-5.4,gpt54_hybrid_api.yaml,none,overgeneralization,4,What is (are) Acne ?,"What are skin problems like acne, and how do they affect the skin in general?","What is acne, and how does it affect the skin overall?","Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face, neck, back, chest, and shoulders. Anyone can get acne, but it is common in teenagers and young adults. It is not serious, but it can cause scars. No one knows exactly what causes acne. Hormone changes, such as those during the teenage years and pregnancy, probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed, but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however, blackheads and pimples are not caused by dirt. Stress doesn't cause acne, but stress can make it worse. If you have acne - Clean your skin gently - Try not to touch your skin - Avoid the sun Treatments for acne include medicines and creams. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases","Acne is a common skin condition in which the hair follicles and oil (sebaceous) glands become clogged and inflamed. It causes lesions such as:

- **Whiteheads and blackheads** (comedones)
- **Pimples** (papules and pustules)
- **Deeper lumps or cysts** in more severe cases

It most often affects the **face, chest, shoulders, and back**. Acne is especially common during **adolescence**, but it can occur at any age. Factors that contribute include **increased oil production, clogged pores, bacteria, and inflammation**.","Skin problems like acne are common disorders of the skin, especially of the hair follicles and oil glands.

In acne:
- Pores become clogged with oil, dead skin cells, and sometimes bacteria.
- This leads to whiteheads, blackheads, pimples, cysts, or nodules.
- The skin may become inflamed, red, swollen, tender, or oily.
- More severe acne can damage deeper layers of skin and leave dark marks or scars.

More generally, skin problems affect the skin by:
- Causing inflammation, irritation, or infection
- Changing the skin’s appearance, texture, or color
- Weakening the skin’s normal protective barrier
- Leading to symptoms such as pain, itching, dryness, or sensitivity

So, acne and similar skin conditions mainly affect the skin by disrupting normal skin function and causing visible and sometimes lasting changes.","Acne is a common skin condition in which hair follicles and oil glands become clogged with oil, dead skin cells, and sometimes bacteria. This leads to lesions such as:

- Whiteheads and blackheads
- Pimples
- Papules and pustules
- Deeper nodules or cysts in more severe cases

Overall, acne mainly affects areas with many oil glands, such as the face, chest, shoulders, and back. It can cause:

- Inflammation and redness
- Tenderness or pain
- Oily skin
- Temporary dark marks or discoloration after lesions heal
- Permanent scarring in some cases, especially with severe acne

So, acne is not just a cosmetic issue—it is an inflammatory skin disorder that can affect the skin’s appearance, texture, and sometimes long-term health.",4.873455686734344,1.2280029625142683,5.079304408727534,26.235059188411174,30.180817794138832,32.10270971737905,18.803418803418804,13.571428571428571,17.58241758241758,30.769230769230766,22.142857142857142,30.03663003663004,0.0,0.0,0.0,0.8459967374801636,0.8415948748588562,0.8476076722145081,1.0,0.6439554691314697,0.7688567042350769,4,3,4
gpt-5.4,gpt54_hybrid_api.yaml,none,typos_grammar,5,What is (are) Acoustic Neuroma ?,What are Acoustic Neuroma?,What is an acoustic neuroma?,"An acoustic neuroma is a benign tumor that develops on the nerve that connects the ear to the brain. The tumor usually grows slowly. As it grows, it presses against the hearing and balance nerves. At first, you may have no symptoms or mild symptoms. They can include - Loss of hearing on one side - Ringing in ears - Dizziness and balance problems The tumor can also eventually cause numbness or paralysis of the face. If it grows large enough, it can press against the brain, becoming life-threatening. Acoustic neuroma can be difficult to diagnose, because the symptoms are similar to those of middle ear problems. Ear exams, hearing tests, and scans can show if you have it. If the tumor stays small, you may only need to have it checked regularly. If you do need treatment, surgery and radiation are options. If the tumors affect both hearing nerves, it is often because of a genetic disorder called neurofibromatosis. NIH: National Institute on Deafness and Communication Disorders","An acoustic neuroma, also called a **vestibular schwannoma**, is a **benign (noncancerous), usually slow-growing tumor** that develops from the **Schwann cells** covering the **vestibulocochlear nerve (cranial nerve VIII)**, most often the **vestibular branch**.

It typically arises in the **internal auditory canal** or **cerebellopontine angle** and can cause:

- **Unilateral hearing loss**
- **Tinnitus** (ringing in one ear)
- **Balance problems or dizziness**
- Larger tumors may press on nearby nerves or the brainstem

So, acoustic neuroma is not a cancer, but it can still cause important symptoms because of its location.","Acoustic neuromas, more accurately called **vestibular schwannomas**, are **benign, slow-growing tumors** that develop from the **Schwann cells** covering the **vestibular branch of the 8th cranial nerve (vestibulocochlear nerve)**.

They usually arise near the inner ear and can cause:
- **Unilateral hearing loss**
- **Tinnitus** (ringing in one ear)
- **Balance problems or dizziness**
- Sometimes **facial numbness or weakness** if the tumor becomes large and presses on nearby nerves

They are **not cancerous**, but larger tumors can compress surrounding structures and may require monitoring, surgery, or radiation treatment.","An acoustic neuroma, also called a vestibular schwannoma, is a usually benign, slow-growing tumor that arises from the Schwann cells covering the vestibular portion of the eighth cranial nerve (the vestibulocochlear nerve), which connects the inner ear to the brain.

It can cause:
- Gradual hearing loss, usually on one side
- Tinnitus (ringing in the ear)
- Dizziness or balance problems
- If larger, pressure on nearby nerves or brain structures, causing facial numbness or weakness

Despite the name, it is not a cancer of the “acoustic” part itself, but a nerve-sheath tumor near the hearing and balance nerve.",2.2575367796681336,1.2025488498008732,7.004308835854431,30.287239249729748,30.407685809233794,33.31199420351008,20.77922077922078,18.10344827586207,24.680851063829788,34.63203463203464,34.48275862068966,37.4468085106383,0.0,0.0,0.0,0.8429545164108276,0.8532430529594421,0.8670094013214111,1.0,0.9544776678085327,0.9461374282836914,4,5,4
gpt-5.4,gpt54_hybrid_api.yaml,none,ambiguity,6,Do you have information about Acupuncture,Do you know anything about acupuncture or how it’s used?,"What is acupuncture, and what conditions or symptoms is it commonly used to treat?","Summary : Acupuncture has been practiced in China and other Asian countries for thousands of years. Acupuncture involves stimulating specific points on the body. This is most often done by inserting thin needles through the skin, to cause a change in the physical functions of the body. Research has shown that acupuncture reduces nausea and vomiting after surgery and chemotherapy. It can also relieve pain. Researchers don't fully understand how acupuncture works. It might aid the activity of your body's pain-killing chemicals. It also might affect how you release chemicals that regulate blood pressure and flow. NIH: National Center for Complementary and Integrative Health","Yes. **Acupuncture** is a component of traditional Chinese medicine in which very thin needles are inserted into specific points on the body. It is also used in some modern pain-management settings.

### What it may help with
Evidence is strongest for:
- **Chronic pain**, especially:
  - low back pain
  - neck pain
  - osteoarthritis knee pain
  - some headache/migraine prevention
- **Nausea/vomiting**, including postoperative or chemotherapy-related nausea
- Some people also use it for **stress, insomnia, or other symptoms**, but evidence there is less consistent.

### How it is thought to work
From a biomedical perspective, acupuncture may:
- stimulate nerves, muscles, and connective tissue
- affect pain signaling
- promote release of endorphins and other neurotransmitters

### Risks and side effects
When done by a **trained, licensed practitioner using sterile single-use needles**, it is generally safe. Possible side effects include:
- soreness
- minor bleeding or bruising
- dizziness

Rare but serious complications:
- infection
- puncture injury (for","Yes. **Acupuncture** is a therapy from traditional Chinese medicine in which very thin needles are inserted into specific points on the body. It’s most often used to help with **pain** and sometimes other symptoms.

### Common uses
It is used for:
- **Chronic pain**, especially:
  - low back pain
  - neck pain
  - osteoarthritis knee pain
  - some headaches/migraines
- **Nausea/vomiting**, especially after surgery or chemotherapy
- Sometimes for:
  - muscle tension
  - temporomandibular joint (TMJ) pain
  - some chronic pain syndromes

### How it may work
Modern research suggests it may help by:
- stimulating nerves and muscles
- triggering release of natural pain-relieving chemicals such as **endorphins**
- affecting pain signaling pathways in the brain and spinal cord

### How effective is it?
Evidence is **mixed**, but it appears to provide **modest benefit** for some chronic pain conditions and nausea. It is generally considered an **adjunct** treatment, meaning it may help alongside standard medical care rather than replace it.

### Safety
When done by a **trained, licensed practitioner** using **sterile single-use","Acupuncture is a treatment in which very thin needles are inserted into specific points on the body. It is a traditional Chinese medicine practice, and in modern medicine it is most often used as a complementary therapy, sometimes with manual or electrical stimulation of the needles.

It is commonly used for:
- Pain relief, especially:
  - Low back pain
  - Neck pain
  - Osteoarthritis, especially knee pain
  - Headaches and migraines
  - Muscle and joint pain
- Nausea and vomiting, including:
  - Postoperative nausea
  - Chemotherapy-related nausea
- Some other symptoms people seek it for:
  - Menstrual cramps
  - Stress or anxiety
  - Insomnia

Its strongest evidence is generally for certain pain conditions and nausea, while benefit for other conditions is less certain.",3.86984075390275,3.68097611833973,6.624114920198249,38.7446649223066,39.76664180622985,38.44409837961329,14.814814814814817,17.96875,17.475728155339805,28.806584362139915,31.25,29.126213592233007,0.0,0.0,0.0,0.834347128868103,0.8337130546569824,0.8409826159477234,1.0,0.9051075577735901,0.8189235329627991,4,4,4
gpt-5.4,gpt54_hybrid_api.yaml,none,layperson,7,What is (are) Acute Bronchitis ?,What is acute bronchitis?,What is acute bronchitis?,"Bronchitis is an inflammation of the bronchial tubes, the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath, wheezing, a low fever, and chest tightness. There are two main types of bronchitis: acute and chronic. Most cases of acute bronchitis get better within several days. But your cough can last for several weeks after the infection is gone. The same viruses that cause colds and the flu often cause acute bronchitis. These viruses spread through the air when people cough, or though physical contact (for example, on unwashed hands). Being exposed to tobacco smoke, air pollution, dusts, vapors, and fumes can also cause acute bronchitis. Less often, bacteria can also cause acute bronchitis. To diagnose acute bronchitis, your health care provider will ask about your symptoms and listen to your breathing. You may also have other tests. Treatments include rest, fluids, and aspirin (for adults) or acetaminophen to treat fever. A humidifier or steam can also help. You may need inhaled medicine to open your airways if you are wheezing. Antibiotics won't help if the cause is viral. You may get antibiotics if the cause is bacterial. NIH: National Heart, Lung, and Blood Institute","Acute bronchitis is a short-term inflammation of the bronchial tubes, the airways that carry air to and from the lungs. It usually causes:

- Cough, often with mucus
- Chest discomfort
- Wheezing or mild shortness of breath
- Low-grade fever and fatigue

It is most often caused by a viral infection, often following a cold or flu, and usually lasts a few days to a few weeks. It is different from pneumonia because the infection/inflammation is mainly in the bronchial tubes rather than the lung tissue itself.","Acute bronchitis is a short-term inflammation of the bronchial tubes, the airways that carry air to the lungs. It is usually caused by a viral infection and leads to symptoms such as cough, mucus production, wheezing, chest discomfort, and sometimes mild fever. It typically lasts a few days to a few weeks and usually gets better on its own. Antibiotics are usually not needed unless a bacterial infection is suspected.","Acute bronchitis is a short-term inflammation of the bronchial tubes, the airways that carry air to the lungs. It is usually caused by a viral infection and leads to symptoms such as cough, mucus production, wheezing, chest discomfort, and sometimes mild fever. It typically lasts a few days to a few weeks and usually gets better on its own. Antibiotics are usually not needed unless a bacterial infection is suspected.",4.059195747756616,2.8237992069601137,2.8237992069601137,24.341578821132725,22.08586526365121,22.08586526365121,23.44322344322344,18.461538461538463,18.461538461538463,32.234432234432234,28.46153846153846,28.46153846153846,0.0,0.0,0.0,0.8562992215156555,0.8789734244346619,0.8789734244346619,1.0,0.957145094871521,0.957145094871521,4,5,5
gpt-5.4,gpt54_hybrid_api.yaml,none,incomplete,8,What is (are) Acute Lymphocytic Leukemia ?,What is acute lymphocytic leukemia?,What is acute lymphocytic leukemia (ALL)?,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute lymphocytic leukemia (ALL), also called acute lymphoblastic leukemia, there are too many of specific types of white blood cells called lymphocytes or lymphoblasts. ALL is the most common type of cancer in children. Possible risk factors for ALL include being male, being white, previous chemotherapy treatment, exposure to radiation, and for adults, being older than 70. Symptoms of ALL include: - Weakness or feeling tired - Fever - Easy bruising or bleeding - Bleeding under the skin - Shortness of breath - Weight loss or loss of appetite - Pain in the bones or stomach - Pain or a feeling of fullness below the ribs - Painless lumps in the neck, underarm, stomach, or groin Tests that examine the blood and bone marrow diagnose ALL. Treatments include chemotherapy, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back. NIH: National Cancer Institute","Acute lymphocytic leukemia (ALL), also called **acute lymphoblastic leukemia**, is a **rapidly progressing cancer of the blood and bone marrow** in which the body makes large numbers of **immature white blood cells called lymphoblasts**.

These abnormal cells crowd out normal blood-forming cells, which can lead to:
- **Anemia** (low red blood cells)
- **Infections** (low normal white blood cells)
- **Bleeding/bruising** (low platelets)

It occurs most often in **children**, but it can also affect **adults**.","Acute lymphocytic leukemia, also called acute lymphoblastic leukemia (ALL), is a fast-growing cancer of the blood and bone marrow. It happens when the bone marrow makes too many immature lymphocytes, a type of white blood cell, called lymphoblasts. These abnormal cells crowd out normal blood-forming cells, which can lead to anemia, infections, and bleeding problems. It is most common in children but can also occur in adults.","Acute lymphocytic leukemia (ALL), also called **acute lymphoblastic leukemia**, is a **rapidly growing cancer of the blood and bone marrow**. It develops when the body makes too many **immature white blood cells called lymphoblasts**, which do not function normally and crowd out healthy blood cells.

This can lead to:
- **Anemia** from low red blood cells
- **Infections** from abnormal white blood cells
- **Bleeding/bruising** from low platelets

ALL is **most common in children**, but it can also occur in adults. It is called **“acute”** because it progresses quickly without treatment.",5.7142523695245435,2.9173719849021853,7.277677643876204,25.58296753780176,25.6193806741667,28.94285745687976,18.115942028985508,17.777777777777782,19.243986254295535,33.333333333333336,35.555555555555564,37.11340206185567,0.0,0.0,0.0,0.8391197323799133,0.8702057600021362,0.8451727032661438,0.9999999403953552,0.9759678244590759,0.9572010636329651,4,4,4
gpt-5.4,gpt54_hybrid_api.yaml,none,overgeneralization,9,What is (are) Acute Myeloid Leukemia ?,What are blood cancers in general?,"What are blood cancers, and what types are included under this term?","Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute myeloid leukemia (AML), there are too many of a specific type of white blood cell called a myeloblast. AML is the most common type of acute leukemia in adults. This type of cancer usually gets worse quickly if it is not treated. Possible risk factors include smoking, previous chemotherapy treatment, and exposure to radiation. Symptoms of AML include: - Fever - Shortness of breath - Easy bruising or bleeding - Bleeding under the skin - Weakness or feeling tired - Weight loss or loss of appetite Tests that examine the blood and bone marrow diagnose AML. Treatments include chemotherapy, other drugs, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back. NIH: National Cancer Institute","Acute myeloid leukemia (AML) is a fast-growing cancer of the blood and bone marrow in which the marrow makes large numbers of abnormal, immature myeloid cells (called myeloblasts or blasts).

These abnormal cells do not develop into normal blood cells and crowd out healthy cells, which can cause:
- anemia,
- infections,
- easy bruising or bleeding.

AML is called “acute” because it progresses quickly, and “myeloid” because it starts in the myeloid line of blood-forming cells. It is the most common acute leukemia in adults, but it can also occur in children.","Blood cancers are cancers that start in the blood-forming tissues or immune system, mainly the bone marrow, blood, and lymphatic system. They happen when abnormal blood cells grow uncontrollably and interfere with the normal production and function of healthy blood cells.

The main types are:
- Leukemia: cancer of the blood and bone marrow
- Lymphoma: cancer of the lymphatic system
- Myeloma: cancer of plasma cells, a type of white blood cell

In general, blood cancers can lead to problems such as anemia, infections, easy bleeding or bruising, swollen lymph nodes, fatigue, and weight loss.","Blood cancers are cancers that affect the blood, bone marrow, or lymphatic system. They usually begin in cells that make up the blood or immune system and interfere with normal blood cell production and function.

The main types included under the term **blood cancer** are:

- **Leukemia**: cancer of the blood-forming tissues, especially the bone marrow, leading to abnormal white blood cells.
- **Lymphoma**: cancer of the lymphatic system, arising from lymphocytes; includes **Hodgkin lymphoma** and **non-Hodgkin lymphoma**.
- **Myeloma**: cancer of plasma cells, a type of white blood cell; the most common form is **multiple myeloma**.

The term can also sometimes include related disorders such as **myelodysplastic syndromes** and **myeloproliferative neoplasms**.",6.1703030328008905,4.982568998118428,6.287077766889852,28.884835993743422,28.52127151004064,31.680392228895123,22.962962962962962,17.77777777777778,16.19718309859155,39.25925925925926,33.33333333333333,34.50704225352113,0.0,0.0,0.0,0.8528978228569031,0.8518814444541931,0.8217734098434448,1.0,0.5080105066299438,0.4974222481250763,4,2,2
