model,config,quantization,noise_type,question_id,question_clean,question_noisy,question_repaired,reference_answer,answer_clean,answer_noisy,answer_repaired,bleu_clean,bleu_noisy,bleu_repaired,chrf_clean,chrf_noisy,chrf_repaired,rouge_l_clean,rouge_l_noisy,rouge_l_repaired,token_f1_clean,token_f1_noisy,token_f1_repaired,exact_match_clean,exact_match_noisy,exact_match_repaired,bertscore_clean,bertscore_noisy,bertscore_repaired,intent_preservation_clean,intent_preservation_noisy,intent_preservation_repaired,geval_clean,geval_noisy,geval_repaired
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,typos_grammar,0,Do you have information about A1C,Rived info abotu ACD?,What information can you provide about Acute Coronary Disease (ACD)?,"Summary : A1C is a blood test for type 2 diabetes and prediabetes. It measures your average blood glucose, or blood sugar, level over the past 3 months. Doctors may use the A1C alone or in combination with other diabetes tests to make a diagnosis. They also use the A1C to see how well you are managing your diabetes. This test is different from the blood sugar checks that people with diabetes do every day. Your A1C test result is given in percentages. The higher the percentage, the higher your blood sugar levels have been: - A normal A1C level is below 5.7 percent - Prediabetes is between 5.7 to 6.4 percent. Having prediabetes is a risk factor for getting type 2 diabetes. People with prediabetes may need retests every year. - Type 2 diabetes is above 6.5 percent - If you have diabetes, you should have the A1C test at least twice a year. The A1C goal for many people with diabetes is below 7. It may be different for you. Ask what your goal should be. If your A1C result is too high, you may need to change your diabetes care plan. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","Yes, Hemoglobin A1c (HbA1c) is a blood test that measures average levels of glucose in your blood over approximately three months by assessing glycation of hemoglobin molecules within red blood cells. It's commonly used to diagnose diabetes or prediabetes and monitor long-term glucose control in individuals with diabetes. An HbA1c level below 5.7% indicates normal blood sugar regulation; between 5.7% - 6.4% suggests prediabetes, while an HbA1c above 6.5% typically signifies diabetes when confirmed through repeated testing. The American Diabetes Association recommends routine monitoring for people with type 2 diabetes at least twice per year if well controlled, quarterly otherwise. Regular physical activity can help lower HbA1c values along with medication adherence as prescribed by healthcare providers.","Autoimmune Coeliac Disease (ACD) is an autoimmune disorder where ingestion of gluten leads to damage in the small intestine lining for genetically predisposed individuals. Symptoms include diarrhea, bloating, weight loss, fatigue, etc., with diagnosis typically involving serological testing followed by endoscopy/biopsy if necessary. Treatment involves adhering strictly to a lifelong gluten-free diet which can help manage symptoms and promote gut healing.","**Acute coronary disease** is characterized by sudden reduction or blockage of blood flow to part of the heart muscle due to plaque rupture in one or more arteries supplying it. This condition may lead to chest pain known as angina pectoris if partially blocked; however, complete occlusion could result in myocardial infarction (heart attack). Symptoms include pressure-like central chest discomfort radiating possibly into arms, neck, jaw, back, or stomach area, shortness of breath, sweatiness, nausea, lightheadedness, palpitations, fatigue, anxiety, weak pulse, pale skin coloring, restlessness, abnormal lung sounds like crackles/rales upon auscultation with an oxygen saturation below 90%. Immediate treatment involves aspirin administration for its antiplatelet effect unless contraindicated, nitroglycerine sublingually for vasodilation which improves cardiac output while reducing preload & afterload respectively thus decreasing work demand from the left ventricle thereby alleviating symptoms associated with ACD such as dyspnea caused primarily via increased venous return secondary to sympathetic nervous system activation during acute episodes leading up until stabilization occurs post intervention measures taken within minutes prior hence prevention being key factor here especially considering mortality",2.9820026878100303,0.13403883740999661,0.829950522447684,33.734571767858256,16.7252368042867,28.36020302974298,22.80130293159609,6.425702811244979,7.162534435261707,36.48208469055374,8.032128514056225,13.223140495867765,0.0,0.0,0.0,0.8722288012504578,0.8031337261199951,0.7807450890541077,1.0,0.31262558698654175,0.39154210686683655,4,1,1
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,ambiguity,1,What is (are) Abdominal Pain ?,Could abdomen discomfort signify various health concerns?,What could be causing my abdomptaim and might there be multiple underlying health issues associated with this symptom?,"Your abdomen extends from below your chest to your groin. Some people call it the stomach, but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else, such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious. Call your healthcare provider if mild pain lasts a week or more or if you have pain with other symptoms. Get medical help immediately if - You have abdominal pain that is sudden and sharp - You also have pain in your chest, neck or shoulder - You're vomiting blood or have blood in your stool - Your abdomen is stiff, hard and tender to touch - You can't move your bowels, especially if you're also vomiting","Abdominal pain refers to discomfort or distress in any region of the abdomen from superficial sources such as skin irritations up to more serious underlying health issues involving internal organs like appendicitis, gallstones, gastritis, kidney stones, urinary tract infections, etc. The severity can range widely depending upon its cause - it could be mildly unpleasant for minor conditions but potentially life-threatening if due to severe diseases requiring immediate attention. It's crucial that persistent or intense abdomptaion pains should always prompt consultation with a healthcare professional for accurate diagnosis and treatment.","Yes, abdominal discomfort can indicate multiple potential issues ranging from indigestion or gas to more serious conditions like appendicitis, gallstones, ulcers, kidney stones, diverticulitis, irritable bowel syndrome (IBS), Crohn's disease, urinary tract infections, hernias, pancreatitis, liver diseases such as hepatitis, endometriosis for women, among others. It is important to consider other symptoms that accompany the pain and seek professional medical evaluation if necessary.","Abruptaemesis refers to sudden vomiting without an obvious cause or triggering factor like food poisoning or pregnancy-related morning sickness. It can have various causes ranging from gastrointestinal disorders such as gastritis, peptic ulcers, bowel obstruction, pancreatitis; systemic conditions including migraines, infections (like urinary tract infection), metabolic disturbances (such as diabetic ketoacidosis); neurological problems like brain tumors or head injuries; psychological factors like stress or eating disorders; medication side effects among others. A thorough evaluation by your doctor is essential for accurate diagnosis considering these potential differentials. Always seek immediate professional help if you experience severe or persistent abruptaemia.",1.1449332222487651,0.8349016281153135,1.0198211645863917,30.639404623282214,25.11880404627928,29.144728202549548,9.95475113122172,11.224489795918366,10.434782608695652,23.52941176470588,20.40816326530612,17.391304347826086,0.0,0.0,0.0,0.8373403549194336,0.8204858303070068,0.8182688355445862,1.0,0.7313421368598938,0.5718245506286621,3,4,1
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,layperson,2,What is (are) Abortion ?,"Hey doc, can you tell me what an abortion's all about? Like when someone decides not to keep baby inside them anymore?",What exactly does undergoing an abortion entail and in which circumstances might one choose this procedure as opposed to continuing with pregnancy?,"An abortion is a procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus. The procedure is done by a licensed health care professional. The decision to end a pregnancy is very personal. If you are thinking of having an abortion, most healthcare providers advise counseling.","An abortion is the termination of an embryo or fetus before it can survive outside the uterus. It may occur spontaneously as miscarriage or be induced intentionally for various reasons including health risks to the mother, fetal abnormalities, or personal choice. Induced abortions involve procedures like medication intake or surgical intervention depending upon gestational age and specific circumstances.","An abortion is a procedure that ends pregnancy by removing the fetus from the uterus before it reaches viability outside of the womb or later in gestation if there are health risks involved for the mother or severe fetal abnormalities detected. It should be performed under safe conditions with proper care due to potential physical and emotional implications. The decision involves personal beliefs, circumstances, legal considerations, and often requires counseling support. Always consult your doctor for advice tailored specifically to individual situations.","Undergoing an abortion involves terminating a pregnancy through various methods such as medication or surgical procedures like vacuum aspiration (suction) or dilation and curettage (D&C). Circumstances where someone may opt for an abortion include but aren't limited to health risks posed by continued pregnancy, fetal abnormalities not compatible with life outside of the womb, cases involving rape or incest, socioeptaional factors affecting parental ability to care for another child, financial constraints impacting family stability, personal choice regarding reproductive rights, lack of support systems, etc. It is important that individuals considering an abortion consult their healthcare provider to discuss all options available according to local laws and regulations.",6.266843038741722,8.30669864458052,1.4402402023016907,38.0184640094716,41.20129393725452,36.42204983010943,18.0,19.672131147540988,14.56953642384106,26.0,36.0655737704918,23.841059602649008,0.0,0.0,0.0,0.8760998845100403,0.8883261680603027,0.8567269444465637,0.9999999403953552,0.6617128252983093,0.6176537871360779,4,4,4
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,incomplete,3,What is (are) Abscess ?,How do absess form?,What causes an abscess to form in the body?,"An abscess is a pocket of pus. You can get an abscess almost anywhere in your body. When an area of your body becomes infected, your body's immune system tries to fight the infection. White blood cells go to the infected area, collect within the damaged tissue, and cause inflammation. During this process, pus forms. Pus is a mixture of living and dead white blood cells, germs, and dead tissue. Bacteria, viruses, parasites and swallowed objects can all lead to abscesses. Skin abscesses are easy to detect. They are red, raised and painful. Abscesses inside your body may not be obvious and can damage organs, including the brain, lungs and others. Treatments include drainage and antibiotics.","An abscess is a localized collection of pus within tissues that occurs due to an infection or foreign substance presence; it typically causes swelling, redness, pain, warmth, and may lead to fever if not treated properly with drainage and antibiotics when necessary.",Abscesses form when bacteria or other foreign materials enter an area of tissue damage in your body causing inflammation as white blood cells rush to fight off these invaders. The accumulation of pus (dead neutrophils) forms at this site leading to swelling underneath skin layers creating what we know as an abscess. This process is part of our immune system's response aiming to isolate and eliminate harmful substances.,An abscess forms when bacteria or other foreign materials become trapped within tissue causing inflammation as white blood cells accumulate at the site of infection attempting to fight off the invaders. This results in pus formation which is contained by surrounding healthy tissues creating what we know as an abscess.,1.5990250069344865,2.6176853008722047,1.0319282760978163,21.14620078672432,30.90973559595306,24.644475392523905,17.687074829931973,17.24137931034483,11.688311688311687,21.768707482993197,36.78160919540229,24.675324675324678,0.0,0.0,0.0,0.8673296570777893,0.8792410492897034,0.8793729543685913,1.0,0.40342962741851807,0.7397739887237549,4,4,4
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,overgeneralization,4,What is (are) Acne ?,How does acne affect skin conditions in general?,What impact does having acne have on overall skin health and other dermatological issues?,"Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face, neck, back, chest, and shoulders. Anyone can get acne, but it is common in teenagers and young adults. It is not serious, but it can cause scars. No one knows exactly what causes acne. Hormone changes, such as those during the teenage years and pregnancy, probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed, but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however, blackheads and pimples are not caused by dirt. Stress doesn't cause acne, but stress can make it worse. If you have acne - Clean your skin gently - Try not to touch your skin - Avoid the sun Treatments for acne include medicines and creams. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases","Acne vulgaris, commonly known as acne or pimples, is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells. It typically affects areas of the body with densely packed sebaceous glands like the face, chest, upper back, and shoulders. The severity ranges from mild to severe cases involving inflammation, redness, swelling, painful nodules, and potential scarring. Hormonal changes during puberty often trigger its development in teenagers but can also occur at any age due to various factors such as stress, dietary habits, medications, genetic predisposition, etc. Treatment options include topical creams/gels containing benzoyl peroxide, salicylic acid, retinoids; antibiotics for bacterial reduction; hormone therapy; Isotretinoin for more severe forms; lifestyle modifications including proper skincare routine and healthier eating patterns may help manage symptoms effectively. Consulting dermatologists helps tailor treatments according to individual needs while minimizing side effects associated with some interventions.","Acne can exacerbate other skin conditions by causing inflammation, increasing sebum production which may lead to clogged pores, triggering or worsening rosacea symptoms due to similar underlying mechanisms of inflammation, potentially aggravating eczema through irritated skin barriers, and contributing to hyperpigmentation that might complicate melasma management. It's important for individuals with multiple skin concerns to consult dermatologists who can provide tailored treatment plans addressing all affected areas simultaneously.","Acne can negatively affect overall skin health by causing scarring or hyperpigmentation if not treated properly. It may also exacerbate conditions like rosacea due to inflammation. Additionally, severe cases of cystic acne could lead to infections requiring antibiotic treatment which might disrupt normal flora balance leading to further complications such as resistant bacteria strains.",4.068107865138342,0.3338089304619513,0.23615586930480614,35.856468802259926,22.024920306568603,17.31265722090199,15.081967213114755,6.926406926406925,7.4074074074074066,23.60655737704918,11.255411255411255,11.11111111111111,0.0,0.0,0.0,0.8479359149932861,0.827057421207428,0.8362032771110535,1.0,0.6751917600631714,0.6009886860847473,4,1,2
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,typos_grammar,5,What is (are) Acoustic Neuroma ?,Whar iz acustik neurma?,What is an acoustic neuroma?,"An acoustic neuroma is a benign tumor that develops on the nerve that connects the ear to the brain. The tumor usually grows slowly. As it grows, it presses against the hearing and balance nerves. At first, you may have no symptoms or mild symptoms. They can include - Loss of hearing on one side - Ringing in ears - Dizziness and balance problems The tumor can also eventually cause numbness or paralysis of the face. If it grows large enough, it can press against the brain, becoming life-threatening. Acoustic neuroma can be difficult to diagnose, because the symptoms are similar to those of middle ear problems. Ear exams, hearing tests, and scans can show if you have it. If the tumor stays small, you may only need to have it checked regularly. If you do need treatment, surgery and radiation are options. If the tumors affect both hearing nerves, it is often because of a genetic disorder called neurofibromatosis. NIH: National Institute on Deafness and Communication Disorders","An acoustic neuroma, also known as vestibular schwannoma, is a noncancerous tumor that develops on the eighth cranial nerve leading from your inner ear to your brain. The branches of this nerve directly influence hearing and balance functions; hence these types of benign growth can cause issues such as hearing loss or ringing in one's ears, imbalance, dizziness among others if they grow large enough. Treatment options include monitoring for smaller ones, radiation therapy, or surgical removal depending upon its size, location, patient’s age, overall health etc.","Acoustic Neuroma is a benign tumor that develops from the vestibular nerve leading to hearing loss or ringing in one ear (tinnitus), balance problems, facial numbness/weakness, etc. It's also known as Vestibular Schwannoma. Treatment options include monitoring for small non-growth cases; surgical removal of larger ones may be necessary along with radiation therapy depending upon individual case specifications.","An acoustic neuroma, also known as vestibular schwannoma, is a noncancerous tumor that develops on the eighth cranial nerve leading from your inner ear to your brain. The branches of this nerve directly influence hearing and balance functions; hence these types of growth can lead to symptoms such as hearing loss, ringing in the ears (tinnitus), or problems with balance. Treatment options vary depending upon size and location but may include monitoring for smaller ones, radiation therapy, or surgical removal if necessary.",3.8197270412826474,1.7774097542492195,3.5315901107298684,31.113491547453346,23.796296216360027,29.19412137877579,21.09704641350211,18.95734597156398,21.83406113537118,32.06751054852321,28.436018957345965,32.314410480349345,0.0,0.0,0.0,0.8664289116859436,0.8616416454315186,0.8659017086029053,1.0,0.2187211811542511,0.9461374282836914,4,4,4
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,ambiguity,6,Do you have information about Acupuncture,Could there possibly be some info on that needle thing for healing?,What information can you provide about acupuncture as an alternative therapy for promoting healing?,"Summary : Acupuncture has been practiced in China and other Asian countries for thousands of years. Acupuncture involves stimulating specific points on the body. This is most often done by inserting thin needles through the skin, to cause a change in the physical functions of the body. Research has shown that acupuncture reduces nausea and vomiting after surgery and chemotherapy. It can also relieve pain. Researchers don't fully understand how acupuncture works. It might aid the activity of your body's pain-killing chemicals. It also might affect how you release chemicals that regulate blood pressure and flow. NIH: National Center for Complementary and Integrative Health","Yes, acupuncture is an ancient Chinese healing practice that involves inserting thin needles into specific points of your body to alleviate pain or treat various health conditions by stimulating nerves, muscles, and connective tissue. It's widely used for chronic pain management but also treats other issues like stress-related disorders, digestive problems, insomnia, etc., although more research may be needed in some areas. Always consult with licensed practitioners who follow safety guidelines when considering this treatment option.","Yes, you might be referring to acupuncture or dry cupping therapy which involves small incisions made by fine needles inserted into specific points of the body as part of traditional Chinese medicine practices believed to promote healing and relieve pain. However, it's essential always to consult with healthcare professionals before trying any alternative treatments.","Acupuncture is a traditional Chinese medicine technique that involves inserting thin needles into specific points of the body to stimulate nerves, muscles, and connective tissue with the aim of enhancing physical and emotional well-being. It's used in various conditions such as pain relief (e.g., back or neck pain), headaches including migraines, osteoarthritis, menstrual cramps, digestive disorders like constipation, insomnia, anxiety, depression, infertility treatment support, addiction recovery assistance, among others. Evidence suggests it may help reduce chronic lower back pain by 30% when combined with conventional treatments. However, more research might be needed to fully understand its effectiveness across different health issues. Always consult your doctor before starting any new form of treatment.",2.302983417649649,2.104498883969805,2.8095082588435214,34.279707024684186,27.456864789850005,38.568294542523155,13.559322033898304,14.285714285714285,14.150943396226415,30.508474576271183,22.07792207792208,28.30188679245283,0.0,0.0,0.0,0.871168851852417,0.8586637377738953,0.8589425683021545,1.0,0.42457523941993713,0.8817446231842041,4,2,3
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,layperson,7,What is (are) Acute Bronchitis ?,So what's this thing called acutebronkitsis? Like when you got that bad cough and can’t breathe good for days at home but not super serious sickness stuff right?,"What exactly is bronchitis, particularly in cases where there is persistent severe coughing and difficulty breathing lasting several days without being considered an extremely critical illness?","Bronchitis is an inflammation of the bronchial tubes, the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath, wheezing, a low fever, and chest tightness. There are two main types of bronchitis: acute and chronic. Most cases of acute bronchitis get better within several days. But your cough can last for several weeks after the infection is gone. The same viruses that cause colds and the flu often cause acute bronchitis. These viruses spread through the air when people cough, or though physical contact (for example, on unwashed hands). Being exposed to tobacco smoke, air pollution, dusts, vapors, and fumes can also cause acute bronchitis. Less often, bacteria can also cause acute bronchitis. To diagnose acute bronchitis, your health care provider will ask about your symptoms and listen to your breathing. You may also have other tests. Treatments include rest, fluids, and aspirin (for adults) or acetaminophen to treat fever. A humidifier or steam can also help. You may need inhaled medicine to open your airways if you are wheezing. Antibiotics won't help if the cause is viral. You may get antibiotics if the cause is bacterial. NIH: National Heart, Lung, and Blood Institute","Acute bronchitis is an inflammation of the airways in one or both lungs that causes coughing with mucus production for at least three weeks. It's usually caused by viruses but can also be due to bacteria or other irritants like smoke or dust exposure. Symptoms include persistent cough, chest discomfort, fatigue, slight fever, and shortness of breath. Treatment typically involves rest, hydration, over-the-counter pain relievers, and sometimes antibiotics if it’s determined to have been caused by bacterial infection.","Acute bronchitis is an inflammation of the airways (bronchi) in your lungs due to viral or bacterial infection leading to persistent coughing which may produce mucus, shortness of breath, wheezing, fatigue, slight fever, chills, headache; it usually resolves within several weeks without severe complications if properly managed with rest, fluids, pain relievers, avoidance of smoke/pollution exposure etc., though chronic cases exist as well known as COPD requiring more intensive treatment & management strategies by healthcare professionals. Always consult a doctor for accurate diagnosis & appropriate care plan tailored specifically towards individual needs!","Bronchitis refers to inflammation of the lining of your airways (bronchi). When it's acute, symptoms include a productive or dry cough that may persist for weeks despite treatment with antibiotics if bacterial; shortness of breath; wheezing; chest discomfort; fatigue; slight fever and chills; and malaise. It can be caused by viruses, typically resolves within 2-3 weeks but sometimes lingers longer due to postinfectious irritability of the respiratory tract. Chronic bronchitis involves long-term cough with phlegm production occurring most days over at least three months during two consecutive years. This condition falls under chronic obstructive pulmonary disease (COPD) spectrum which requires management through medications like bronchodilators, steroids, oxygen therapy, smoking cessation, vaccines against flu/pneumococcal pneumonia etc., depending upon severity & comorbidities present. Always consult healthcare professionals when experienptaion persists beyond usual timeframes as underlying conditions might exist requiring specific treatments!",1.77136156094512,3.902136871944977,2.0583628020210094,26.187531158867788,30.139655795169368,36.83053367550254,15.217391304347828,13.333333333333334,11.904761904761903,30.434782608695656,25.263157894736842,26.785714285714285,0.0,0.0,0.0,0.8701756596565247,0.8536656498908997,0.8446212410926819,1.0,0.6305094957351685,0.7782468199729919,3,3,3
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,incomplete,8,What is (are) Acute Lymphocytic Leukemia ?,How does acut leukaemia work?,What happens in the body during an episode of acute leukemia?,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute lymphocytic leukemia (ALL), also called acute lymphoblastic leukemia, there are too many of specific types of white blood cells called lymphocytes or lymphoblasts. ALL is the most common type of cancer in children. Possible risk factors for ALL include being male, being white, previous chemotherapy treatment, exposure to radiation, and for adults, being older than 70. Symptoms of ALL include: - Weakness or feeling tired - Fever - Easy bruising or bleeding - Bleeding under the skin - Shortness of breath - Weight loss or loss of appetite - Pain in the bones or stomach - Pain or a feeling of fullness below the ribs - Painless lumps in the neck, underarm, stomach, or groin Tests that examine the blood and bone marrow diagnose ALL. Treatments include chemotherapy, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back. NIH: National Cancer Institute","Acute lymphoblastic leukemia (ALL), also known as acute lymphoid or lymphoblastic leukemia, is an aggressive type of cancer that affects white blood cells called B-cells and T-cells in their early stages of development within bone marrow. It progresses rapidly if left untreated but can often be treated successfully with chemotherapy and other therapies such as stem cell transplantation. ALL primarily occurs in children under 5 years old; however, it may occur at any age. Symptoms include fatigue, fever, bleeding/bruising easily, frequent infections, painless swelling of limbs due to enlarged livers or spleens, weight loss without trying, recurrent nosebleeds, rashes, joint pains, etc. The exact cause remains unknown though genetic predisposition plays some role along with exposure to radiation or certain chemical agents like benzene. Diagnosis involves physical examination followed by laboratory tests including complete blood count(CBC), peripheral smear review, flow cytometry analysis for immunophenotyping, molecular testing using polymerase chain reaction (PCR). Treatment options depend upon factors like patient's age, overall health status & subtype classification which includes standard risk vs high risk groups determined through various progn","Acute lymphoblastic leukemia (ALL) is characterized by an overproduction of immature white blood cells called blasts in the bone marrow which impairs normal hematopoiesis leading to symptoms such as fatigue, fever, bleeding or bruising easily due to low platelet count, frequent infections from neutropenia, and enlarged liver/spleen among others. Treatment typically involves chemotherapy with possible stem cell transplantation for high-risk cases. The exact cause remains unknown but it's thought that genetic mutations play a role.","During an episode of acute leukemia, there is uncontrolled proliferation of immature white blood cells (blasts) that accumulate rapidly in the bone marrow and often spill over into the peripheral bloodstream. This impairs normal hematopoiesis leading to decreased production of functional red blood cells, platelets, and mature white blood cells which can result in symptoms such as fatigue from anemia, increased risk of bleeding due to thrombocytopenia, and susceptibility to infections because of neutropenia.",5.978206487535193,1.2894504852735122,0.9057019204959008,42.40549151005564,23.827969645163765,20.98263953239919,13.541666666666666,13.620071684587812,14.492753623188406,29.687500000000007,22.22222222222222,23.18840579710145,0.0,0.0,0.0,0.840745210647583,0.840641438961029,0.8330154418945312,0.9999999403953552,0.5448291897773743,0.6732715368270874,3,4,3
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,overgeneralization,9,What is (are) Acute Myeloid Leukemia ?,Could you explain what different types of blood cancer like AML mean?,What do various forms of leukemia such as Acute Myeloid Leukemia (AML) signify in terms of diagnosis and treatment options?,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute myeloid leukemia (AML), there are too many of a specific type of white blood cell called a myeloblast. AML is the most common type of acute leukemia in adults. This type of cancer usually gets worse quickly if it is not treated. Possible risk factors include smoking, previous chemotherapy treatment, and exposure to radiation. Symptoms of AML include: - Fever - Shortness of breath - Easy bruising or bleeding - Bleeding under the skin - Weakness or feeling tired - Weight loss or loss of appetite Tests that examine the blood and bone marrow diagnose AML. Treatments include chemotherapy, other drugs, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back. NIH: National Cancer Institute","Acute myeloid leukemia (AML) is an aggressive type of cancer that originates in the bone marrow but often quickly moves into the blood as well. It affects immature white blood cells called myeloblasts or blasts which accumulate rapidly due to abnormal growth signals causing impaired production of normal red blood cells, platelets, and mature white blood cells leading to various symptoms like fatigue, increased risk for bleeding/infections etc. Treatment typically involves chemotherapy with possible stem cell transplantation depending upon individual patient factors such age, overall health status & genetic mutations present within their AML subtype.","Acute Myeloid Leukemia (AML) is one type of blood cancer that affects myeloblasts in bone marrow leading to an overproduction of immature white blood cells which can impede normal hematopoiesis. Other common types include Chronic Lymphocytic Leukemia (CLL), Hodgkin's lymptaimia, Non-Hodgkin’s lymphoma, Multiple Myeloma, etc., each with distinct pathophysiology and clinical manifestations.","Various forms of leukemia like AML indicate different prognoses and require tailored treatments; for instance, chemotherapy is common but newer targeted therapies may be used depending on genetic mutations present within cancer cells. Diagnosis often involves blood tests, bone marrow biopsy, cytogenetics or molecular testing to identify specific subtypes which guide personalized treatment plans including stem cell transplantation if necessary.",3.297668325419221,0.48465913669269284,0.26070915170445136,32.02202063643011,17.727047999314145,21.473698451907968,13.818181818181815,11.814345991561181,9.876543209876544,30.545454545454547,20.253164556962027,18.930041152263378,0.0,0.0,0.0,0.8592193126678467,0.8330420851707458,0.8284825086593628,1.0,0.5587834715843201,0.7730937600135803,4,4,3
