model,config,quantization,noise_type,question_id,question_clean,question_noisy,question_repaired,reference_answer,answer_clean,answer_noisy,answer_repaired,bleu_clean,bleu_noisy,bleu_repaired,bertscore_clean,bertscore_noisy,bertscore_repaired,judge_clean,judge_noisy,judge_repaired
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,typos_grammar,0,Do you have information about A1C,Can u gimme info on that sugar level test thingy?,What information can you provide about blood glucose testing procedures and their purpose?,"Summary : A1C is a blood test for type 2 diabetes and prediabetes. It measures your average blood glucose, or blood sugar, level over the past 3 months. Doctors may use the A1C alone or in combination with other diabetes tests to make a diagnosis. They also use the A1C to see how well you are managing your diabetes. This test is different from the blood sugar checks that people with diabetes do every day. Your A1C test result is given in percentages. The higher the percentage, the higher your blood sugar levels have been: - A normal A1C level is below 5.7 percent - Prediabetes is between 5.7 to 6.4 percent. Having prediabetes is a risk factor for getting type 2 diabetes. People with prediabetes may need retests every year. - Type 2 diabetes is above 6.5 percent - If you have diabetes, you should have the A1C test at least twice a year. The A1C goal for many people with diabetes is below 7. It may be different for you. Ask what your goal should be. If your A1C result is too high, you may need to change your diabetes care plan. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","Yes, Hemoglobin A1c (HbA1c) is a blood test that measures average levels of glucose in your blood over approximately three months by assessing glycation of hemoglobin molecules within red blood cells. It's commonly used to diagnose diabetes or prediabetes as well as monitor long-term sugar control for people with these conditions. An HbA1c level below 5.7% indicates normal blood sugar regulation; between 5.7% -6.4% suggests pre-diabetes; while an HbA1c above 6.5% typically signifies type 2 diabetes. The American Diabetes Association recommends annual testing for individuals at risk or already diagnosed with diabetes using this methodology.","Certainly! The ""sugar level"" you're referring to is likely blood glucose testing which measures your body’s current amount of circulating glucose in mg/dL (milligrams per deciliter). It helps diagnose diabetes or monitor treatment effectiveness for those already with it. There are various methods like fasting plasma glucose tests, A1C tests showing average levels over 2-3 months, etc., depending upon what information doctors need. Regular monitoring can help manage conditions effectively by indicating when adjustments may be needed in lifestyle or medication. Always consult healthcare professionals regarding personalized advice.","Blood glucose tests measure the amount of sugar (glucose) in your blood at that moment or over time to monitor for diabetes management, diagnosis, or treatment effectiveness. Common methods include finger-prick test kits used by individuals with diabetes daily; laboratory serum/plasma glucose measurements taken after fasting or post meals as part of routine checkups; continuous glucose monitoring systems providing realtime data throughout the day via subcutaneous sensors linked to transmitters worn by patients requiring tight glycemic control. These assessments help healthcare providers adjust medication dosages, recommend lifestyle changes such as nutrition modifications & physical activity levels necessary for optimal metabolic function while minimizing risks associated with hyperglycaemia(high blood sugars), hypoglycaemia(low blood sugars), microvascular complications like neuropathy, retinopathy, nephropathy etc., macrovascular diseases including cardiovascular disorders among others related conditions impacted directly due to chronically elevated plasma concentrations of this essential biomolecule involved primarily within cellular energy production pathways across various tissues present systematically distributed through our body's intricate network comprising arteries supplying oxygen rich red cells carrying vital substances required continuously maintain homeostasis ensuring overall wellbeing amongst",2.7630305485997964,0.7006764545032264,0.8632798069834536,0.872501015663147,0.8385961055755615,0.8101321458816528,3,1,0
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,typos_grammar,1,What is (are) Abdominal Pain ?,Whar ar abmaln pain?,What causes abdominal pain?,"Your abdomen extends from below your chest to your groin. Some people call it the stomach, but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else, such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious. Call your healthcare provider if mild pain lasts a week or more or if you have pain with other symptoms. Get medical help immediately if - You have abdominal pain that is sudden and sharp - You also have pain in your chest, neck or shoulder - You're vomiting blood or have blood in your stool - Your abdomen is stiff, hard and tender to touch - You can't move your bowels, especially if you're also vomiting","Abdominal pain refers to discomfort or distress in any region of the abdomen from superficial sources such as skin irritation to relatively deep visceral organs including the stomach, liver, gallbladder, small intestine, colon, pancreas, appendix, upper urinary tracts, pelvic structures, pregnancy related issues etc., which can be acute or chronic depending upon its cause. It's one of the most common symptoms for which patients seek medical care. The nature, location, intensity, duration, timing, associated factors like food ingestion/excretion patterns, presence of other signs & symptoms help narrow down potential causes significantly. However, diagnosis often requires further investigations due to overlapping presentations among various conditions causing it. Always consult with healthcare professionals when experiencing persistent or severe abdominal pain.","Abdominal pain can be caused by various conditions such as indigestion, gas, constipation, stomach flu (gastroenteritis), food poisoning, appendicitis, gallstones, kidney stones, urinary tract infections, or even more serious issues like pancreatitis or an ectopic pregnancy. It's important to consider other symptoms that accompany the pain for proper diagnosis. Consult with healthcare professionals if you experience severe or persistent abdominal pain.","Abdominal pain can be caused by various factors including digestive issues (like gastroenteritis or irritable bowel syndrome), infections, inflammation of organs such as appendicitis or pancreatitis, hernias, kidney stones, urinary tract infections, gynecological conditions like endometriosis or ovarian cysts for women, trauma to internal structures, food intolerances/allergies, and more serious concerns like cancerous growths within the abdomen. It's important that individuals experiencing persistent or severe abdominal pain consult with healthcare professionals for accurate diagnosis and treatment.",2.28273715266638,0.9670973016358821,1.0468356607735292,0.8309900760650635,0.8379818201065063,0.824460506439209,2,2,3
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,typos_grammar,2,What is (are) Abortion ?,Whhat ar aborshun?,What causes abortion (miscarriage)?,"An abortion is a procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus. The procedure is done by a licensed health care professional. The decision to end a pregnancy is very personal. If you are thinking of having an abortion, most healthcare providers advise counseling.","An abortion is the termination of pregnancy by removal or expulsion from the uterus before it has come to full term - typically defined as 20 weeks gestation. There can be two types of abortions; spontaneous/miscarriage where there's an involuntary end to the pregnancy due to natural causes like genetic abnormalities in fetuses, maternal health issues etc., and induced abortion which involves intentional intervention through medications or surgical procedures for various reasons including personal choice, fetal anomalies, risk factors associated with continuing the pregnancy among others. It should always involve informed consent after counseling about potential risks and alternatives available. The legality varies across different regions globally depending upon local laws and cultural norms.",Abortion is the termination of pregnancy by removal or expulsion from the uterus (womb) of an embryo or fetus before it can survive outside the womb. There are two main types of abortions: spontaneous/miscarriage which occurs naturally without intervention; induced abortion where procedures such as medication or surgery intentionally end a pregnancy for various reasons including health risks to mother or fetal anomalies.,"Abortions or miscarriages can be caused by various factors including genetic abnormalities in the fetus, maternal health conditions such as uncontrolled diabetes or thyroid disease, hormonal imbalances, uterine anomalies, immune system disorders, severe trauma to the mother's body, certain medications, lifestyle choices like smoking or excessive alcohol consumption, advanced parental age, environmental exposures, and sometimes an unknown cause which is termed 'sporadic'. It’s important for women experiencing recurrent pregnancy loss to consult with their doctor for proper evaluation and management.",2.96637735672221,5.672841973415713,0.7813930933626757,0.8630830645561218,0.8753761053085327,0.8370218873023987,3,3,0
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,typos_grammar,3,What is (are) Abscess ?,Whaat ar absess?,What exactly is an abscess and how does one develop?,"An abscess is a pocket of pus. You can get an abscess almost anywhere in your body. When an area of your body becomes infected, your body's immune system tries to fight the infection. White blood cells go to the infected area, collect within the damaged tissue, and cause inflammation. During this process, pus forms. Pus is a mixture of living and dead white blood cells, germs, and dead tissue. Bacteria, viruses, parasites and swallowed objects can all lead to abscesses. Skin abscesses are easy to detect. They are red, raised and painful. Abscesses inside your body may not be obvious and can damage organs, including the brain, lungs and others. Treatments include drainage and antibiotics.","An abscess is a localized collection of pus within tissues that occurs as part of an inflammatory response to infection or foreign substances. It can cause swelling, pain, redness, warmth, and may require drainage for treatment if it does not resolve with antibiotics alone.","An abscess is a localized collection of pus within tissues that occurs due to infection or inflammation caused by bacteria, fungi, parasites, or foreign substances. It often presents as swelling with painful lumps underneath the skin which may be reddened and warm to touch. Treatment typically involves drainage and antibiotics if necessary.","An abscess is a localized collection of pus within tissues that occurs as part of your body's immune response to infection or foreign materials. It typically presents with swelling, redness, warmth, pain, and sometimes fever if it becomes infected enough to elicit systemic symptoms. Abscesses can form due to bacterial invasion into soft tissue after trauma (like stepping on glass), surgical procedures, blocked oil glands leading to acne, dental issues causing periapical abscesses, etc., wherein white blood cells accumulate at the site attempting to fight off the invading pathogens resulting in pus formation enclosed by inflamed granulation tissue. Treatment often involves antibiotics for underlying infections and drainage of the collected fluid either through incision and drainage procedure performed under sterile conditions or spontaneously from natural openings like skin pores when present superficially.",1.3965877467806023,2.1543085131799415,5.014444924059051,0.8703133463859558,0.8716562986373901,0.8691706657409668,2,2,3
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,typos_grammar,4,What is (are) Acne ?,Wha's acnes?,What causes acne?,"Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face, neck, back, chest, and shoulders. Anyone can get acne, but it is common in teenagers and young adults. It is not serious, but it can cause scars. No one knows exactly what causes acne. Hormone changes, such as those during the teenage years and pregnancy, probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed, but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however, blackheads and pimples are not caused by dirt. Stress doesn't cause acne, but stress can make it worse. If you have acne - Clean your skin gently - Try not to touch your skin - Avoid the sun Treatments for acne include medicines and creams. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases","Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells, leading to pimples or blemishes primarily on the face, forehead, chest, upper back, and shoulders. It often begins during puberty but can occur at any age due to hormonal changes, genetics, stress, dietary factors, certain medications, etc. Treatment options include topical creams/gels, antibiotics, birth control for women, retinoids, benzoyl peroxide products, salicylic acid treatments, light therapy, chemical peeling, extraction of blackheads by dermatologists, laser treatment, corticosteroid injections into large acne lesions such as nodules, cryotherapy, photodynamic therapy, and Accutane® prescribed only if other methods fail because it has serious side effects including possible liver damage and teratogenicity. Lifestyle modifications like proper skincare routine, healthier eating habits may also help manage mild cases effectively.","Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells, leading to pimples or blemishes primarily on the face, chest, back, and shoulders. It often affects teenagers but can occur at any age due to hormonal changes, stress, dietary factors, genetic predisposition, etc. Treatment options include topical creams/gels (containing benzoyl peroxide, salicylic acid), antibiotics for inflammation reduction, retinoids, birth control pills in women, and more severe cases may require prescription medications like Isotretinoin under strict supervision. Lifestyle modifications such as proper skincare routines also play an essential role in managing this condition effectively.","Acne is caused by hormonal changes that lead to excess oil production in the skin's sebaceous glands; this can be exacerbated by bacteria (Propionibacterium acnes), inflammation, clogged pores from dead skin cells or debris, and certain medications or dietary factors.",7.026407933851746,6.546726005654935,0.15307861803579284,0.8468402028083801,0.8531302809715271,0.8324768543243408,3,3,1
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,typos_grammar,5,What is (are) Acoustic Neuroma ?,Whar iz acustick neurona?,What is an acoustic neuroma?,"An acoustic neuroma is a benign tumor that develops on the nerve that connects the ear to the brain. The tumor usually grows slowly. As it grows, it presses against the hearing and balance nerves. At first, you may have no symptoms or mild symptoms. They can include - Loss of hearing on one side - Ringing in ears - Dizziness and balance problems The tumor can also eventually cause numbness or paralysis of the face. If it grows large enough, it can press against the brain, becoming life-threatening. Acoustic neuroma can be difficult to diagnose, because the symptoms are similar to those of middle ear problems. Ear exams, hearing tests, and scans can show if you have it. If the tumor stays small, you may only need to have it checked regularly. If you do need treatment, surgery and radiation are options. If the tumors affect both hearing nerves, it is often because of a genetic disorder called neurofibromatosis. NIH: National Institute on Deafness and Communication Disorders","An acoustic neuroma, also known as vestibular schwannoma, is a noncancerous tumor that develops on the eighth cranial nerve leading from your inner ear to your brain. The branches of this nerve directly influence hearing and balance functions; hence these types of benign growth can lead to symptoms such as loss of hearing in one ear, ringing or buzzing noises within the affected ear(s), unsteadiness while walking along with dizziness among others if they grow large enough before being detected by imaging studies like MRI scans. Treatment options include monitoring for smaller ones without immediate intervention due their slow-growth nature, surgical removal which may involve risks depending upon size/location relative to surrounding structures including facial muscle control & auditory function preservation efforts respectively alongside radiation therapy aimed at shrinking them down when appropriate circumstances arise wherein invasive procedures pose significant potential complications compared against expected benefits gained thereof over time through conservative management strategies tailored specifically towards each individual patient's unique situation taking into account factors ranging widely across multiple domains encompassing both physical health status considerations plus psychological wellbeing aspects equally important albeit often underappreciated elements contributing significantly toward overall quality life outcomes experienced post diagnosis confirmation followed closely behind subsequent treatment modalities implemented accordingly until complete resolution achieved ultimately resulting ideally not",An acoustic neuroma is a benign tumor that develops from the vestibular nerve leading to hearing loss or ringing in one ear as well as balance problems. It's also known as Vestibular Schwannoma.,"An acoustic neuroma, also known as vestibular schwannoma, is a noncancerous tumor that develops on the eighth cranial nerve leading from your inner ear to your brain. The branches of this nerve directly influence hearing and balance functions; hence these types of growth can lead to symptoms such as hearing loss, ringing in the ears (tinnitus), or imbalance/dizziness if they grow large enough. Treatment options may include monitoring for smaller ones, radiation therapy, or surgical removal depending upon size, location, patient age, health status, etc.",4.287330348220291,0.34939053742046866,3.9788053817317772,0.8402357697486877,0.8688812851905823,0.8681893348693848,3,3,3
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,typos_grammar,6,Do you have information about Acupuncture,"Yo, can ya gimme some deets on that needle thingy for health?",What information do you have about vaccinations and their role in maintainership of personal health?,"Summary : Acupuncture has been practiced in China and other Asian countries for thousands of years. Acupuncture involves stimulating specific points on the body. This is most often done by inserting thin needles through the skin, to cause a change in the physical functions of the body. Research has shown that acupuncture reduces nausea and vomiting after surgery and chemotherapy. It can also relieve pain. Researchers don't fully understand how acupuncture works. It might aid the activity of your body's pain-killing chemicals. It also might affect how you release chemicals that regulate blood pressure and flow. NIH: National Center for Complementary and Integrative Health","Yes, acupuncture is an ancient Chinese practice that involves inserting thin needles into specific points of the body to alleviate pain or treat various health conditions by stimulating nerves, muscles, and connective tissue. It's widely used for chronic pain relief but also has applications in treating other issues like stress-related disorders, digestive problems, insomnia, etc., although more research may be needed to fully understand its efficacy across different conditions. The World Health Organization (WHO) recognizes it as effective treatment for certain types of headaches, menstrual cramps, gastrointestinal complaints, anxiety, depression, stroke rehabilitation, infertility, multiple sclerosis, and others. However, patients should always consult with their primary care provider before starting any new therapy including acupuncture.",Certainly! Are you referring to vaccinations or insulin injections used by diabetics? Vaccines involve using small needles to introduce weakened pathogens into your body so it learns how to fight them off without causing illness; Insulin shots help regulate blood sugar levels when someone's pancreas doesn’t produce enough naturally. Let me know if there is something specific about these procedures you would like more information on.,"Vaccinations play an essential role in maintenance of individual health by stimulating the immune system to recognize and fight specific pathogens without causing disease itself. This proactive approach helps prevent outbreaks of infectious diseases within communities through herd immunity when coverage is high enough. Regularly updated schedules for routine childhood and adult vaccines ensure continued protection against various illnesses such as influenza, measles, hepatitis B, HPV-related cancers, pneumococcal bacteria, tetanus, diphtheria, pertussis (whooping cough), meningococcus, rotavirus gastroenteritis, polio virus, chickenpox, shingles, human papillomavirus (HPV) related cervical cancer, etc., depending upon age group, geographical location, lifestyle factors, occupational risks or travel plans among others. It's important that individuals consult with their primary care physician regarding appropriate vaccination schedule tailored specifically towards them.",2.8095082588435214,0.9032490126520237,0.8688750967861939,0.866335928440094,0.8336858153343201,0.8040048480033875,2,0,0
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,typos_grammar,7,What is (are) Acute Bronchitis ?,Whta si acut buochitisis?,What is an acute bacterial infection?,"Bronchitis is an inflammation of the bronchial tubes, the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath, wheezing, a low fever, and chest tightness. There are two main types of bronchitis: acute and chronic. Most cases of acute bronchitis get better within several days. But your cough can last for several weeks after the infection is gone. The same viruses that cause colds and the flu often cause acute bronchitis. These viruses spread through the air when people cough, or though physical contact (for example, on unwashed hands). Being exposed to tobacco smoke, air pollution, dusts, vapors, and fumes can also cause acute bronchitis. Less often, bacteria can also cause acute bronchitis. To diagnose acute bronchitis, your health care provider will ask about your symptoms and listen to your breathing. You may also have other tests. Treatments include rest, fluids, and aspirin (for adults) or acetaminophen to treat fever. A humidifier or steam can also help. You may need inhaled medicine to open your airways if you are wheezing. Antibiotics won't help if the cause is viral. You may get antibiotics if the cause is bacterial. NIH: National Heart, Lung, and Blood Institute","Acute bronchitis is an inflammation of the airways in one or both lungs that causes coughing with mucus production for at least three weeks. It's usually caused by viruses but can also be due to bacteria; however, antibiotics aren’t typically recommended unless there's suspicion of a secondary bacterial infection. Symptoms may include chest discomfort, shortness of breath, wheezing, fatigue, slight fever, headache, muscle aches, runny nose, sore throat, sweating, shivering, etc., which generally resolve within six to eight weeks without causing lasting lung damage.","Acute bursitis is an inflammation of one or more bursae (fluid-filled sacs) that cushion painful points between your bones and tendons near joints such as shoulders, elbows, hips, knees, etc., often caused by injury, repetitive motions, stress to the area from prolonged pressure, infection, or underlying rheumatic conditions like arthritis. Symptoms include localized swelling, redness, warmth, and sharp pain during movement; treatment typically involves resting the affected joint, applying ice packs, taking anti-inflammatory medications, physical therapy, and sometimes corticosteroid injections if severe.","An acute bacterial infection refers to a rapid-onset illness caused by harmful bacteria invading tissues or organs of the body; it typically presents with symptoms like fever, pain, swelling, redness, warmth at affected site, pus formation if there's drainage from wounds, fatigue, chills, nausea/vomiting depending upon severity & location within body (e.g., urinary tract vs respiratory system). Common examples include strep throat, cellulitis, otitis media, etc. Prompt diagnosis through clinical assessment followed by appropriate antibiotic treatment can effectively manage these conditions.",2.9052684712159325,1.1546686360185796,0.46953923496884337,0.8567827343940735,0.8208917379379272,0.8228272199630737,3,3,3
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,typos_grammar,8,What is (are) Acute Lymphocytic Leukemia ?,Whhat ar ACUTE Lymhpocyteik Lenukaimia?,What is acute lymphocytic leukemia (ALL)?,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute lymphocytic leukemia (ALL), also called acute lymphoblastic leukemia, there are too many of specific types of white blood cells called lymphocytes or lymphoblasts. ALL is the most common type of cancer in children. Possible risk factors for ALL include being male, being white, previous chemotherapy treatment, exposure to radiation, and for adults, being older than 70. Symptoms of ALL include: - Weakness or feeling tired - Fever - Easy bruising or bleeding - Bleeding under the skin - Shortness of breath - Weight loss or loss of appetite - Pain in the bones or stomach - Pain or a feeling of fullness below the ribs - Painless lumps in the neck, underarm, stomach, or groin Tests that examine the blood and bone marrow diagnose ALL. Treatments include chemotherapy, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back. NIH: National Cancer Institute","Acute lymphoblastic leukemia (ALL) is an aggressive form of blood cancer that originates in bone marrow cells called white blood cell precursors or blasts. It rapidly progresses by crowding out normal blood-forming cells leading to symptoms like fatigue, fever, bleeding/bruising easily, frequent infections etc., primarily affects children but can also occur in adults. Treatment typically involves chemotherapy with possible stem cell transplantation for high risk cases.",Acute lymphoblastic leukemia (ALL) is a type of cancer that affects blood cells in bone marrow leading to an overproduction of immature white blood cells called lymphoblasts or blast cells. It's most common among children but can also occur in adults. Treatment typically involves chemotherapy with possible stem cell transplantation for high-risk cases.,"Acute Lymphoblastic Leukemia (ALL) is a type of cancer that affects the blood and bone marrow characterized by an overproduction of immature white blood cells called lymptaimiacs or blasts. It's most common in children but can also occur in adults. Treatment typically involves chemotherapy to destroy these abnormal cells and may include radiation therapy, targeted drugs, stem cell transplantation, depending upon individual patient factors such as age and overall health status.",0.6622305888529141,0.48078104563994534,1.6225078272839497,0.8530703186988831,0.8568102121353149,0.8509371876716614,3,3,1
Phi-3-medium-4k-instruct (4bit),phi3_14b_4bit.yaml,4bit,typos_grammar,9,What is (are) Acute Myeloid Leukemia ?,Whar ar acut myelo leukamia?,What exactly is acute myeloid leukemia?,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute myeloid leukemia (AML), there are too many of a specific type of white blood cell called a myeloblast. AML is the most common type of acute leukemia in adults. This type of cancer usually gets worse quickly if it is not treated. Possible risk factors include smoking, previous chemotherapy treatment, and exposure to radiation. Symptoms of AML include: - Fever - Shortness of breath - Easy bruising or bleeding - Bleeding under the skin - Weakness or feeling tired - Weight loss or loss of appetite Tests that examine the blood and bone marrow diagnose AML. Treatments include chemotherapy, other drugs, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back. NIH: National Cancer Institute","Acute myeloid leukemia (AML) is an aggressive cancer of the blood-forming cells in the bone marrow that rapidly progresses without treatment. It leads to overproduction of immature white blood cells called blasts which impair normal hematopoiesis leading to symptoms like fatigue, bleeding or bruising easily, fever due to increased risk for infections etc. Treatment usually involves chemotherapy followed by stem cell transplantation if eligible.","Acute Myeloid Leukemia (AML) is a type of cancer that affects the blood and bone marrow characterized by an overproduction of immature white blood cells called blasts which impairs normal hematopoiesis leading to symptoms such as fatigue, infections, bleeding or bruising easily due to low platelet counts. Treatment typically involves chemotherapy with possible stem cell transplantation for eligible patients.","Acute Myeloid Leukemia (AML) is a type of cancer that starts in your bone marrow but often quickly moves into your blood. It can lead to an overproduction of immature white blood cells called blasts which do not function properly and crowd out healthy cells leading to symptoms like fatigue, easy bruising or bleeding, fever etc. AML requires prompt treatment as it progresses rapidly without intervention. Treatment typically involves chemotherapy with possible stem cell transplantation depending upon individual patient factors.",1.3909232837419716,1.0829110749187538,1.9202049953943825,0.8629097938537598,0.8522647619247437,0.8742823600769043,1,3,3
